id,area,year,slope,elev,distroad,distcapital,peatdepth,biomasscarbonruesch,soilcarbon,biomasscarbonbaccini,defor2000,defor2001,defor2002,defor2003,defor2004,defor2005,defor2006,defor2007,defor2008,defor2009,defor2000prop,defor2001prop,defor2002prop,defor2003prop,defor2004prop,defor2005prop,defor2006prop,defor2007prop,defor2008prop,defor2009prop,num_cells,defor_cumul,defor_cumul_avg,defor_cumul_prop,defor_cumul_prop_avg,defor2000propover_50p,defor2001propover_50p,defor2002propover_50p,defor2003propover_50p,defor2004propover_50p,defor2005propover_50p,defor2006propover_50p,defor2007propover_50p,defor2008propover_50p,defor2009propover_50p,count_over_50p,over_50p_normed,years_in_effect,degree,normed_high_defor_indic,normed_high_defor_indic_quantitative
1,25677,2009,5.703810416666667,136.713525,78.97337708333333,188.636,0.0,288831.1367203485,61542.31333328683,186819.18622192752,205.56236437590888,218.19334681655732,58.05726847109883,169.66241799245998,346.6614376042955,104.70646211798072,204.92304926660984,478.3567287927779,95.68935515777164,111.99289135862968,0.0080057002132612,0.0084976183672764,0.0022610612015071,0.0066075638895688,0.0135008543678893,0.0040778308259524,0.0079808018563932,0.0186297748488054,0.0037266563522908,0.0043616034333695,48,111.99289135862968,111.99289135862968,0.0043616034333695,0.0043616034333695,1,1,1,1,1,1,1,1,1,1,9,9.0,1,1,0.0031205906074886006,0.0031205906074886006
2,47812,2009,5.481341066666667,143.491448,128.18184000000002,162.47444000000002,0.0,272221.83214151976,61539.48454437767,197748.52585762413,172.54061051906882,233.1921300448156,41.877202075681495,147.79968906280473,203.53915035667407,161.15454782960322,102.57698181862838,400.6137499229367,314.02283413596143,65.58804892837846,0.0036087302459438,0.004877272024697,0.0008758722093968,0.0030912676537857,0.0042570724997212,0.0033705878823224,0.0021454233627254,0.0083789372944645,0.0065678665217092,0.0013717905322592,75,65.58804892837846,65.58804892837846,0.0013717905322592,0.0013717905322592,1,1,1,1,1,1,1,1,1,1,9,9.0,1,2,0.00013077770637829993,0.00013077770637829993
3,94835,2008,7.100132402597403,369.2962012987013,13.425866818831167,280.5457987012987,0.0,307651.1189750724,61544.35210634163,207996.87000772564,116.57941128846902,36.93170499954462,10.90788791566621,20.28506831977341,74.59999415418248,4.82697316666518,100.35691523753933,88.13216089526819,29.542959882690123,52.5937776556995,0.0012292867748032,0.0003894311699219,0.0001150196437566,0.0002138985429406,0.0007866293473314,5.089864677244878e-05,0.0010582265538834,0.0009293210407051,0.0003115195854135,0.000554581933418,154,82.13673753838962,41.06836876919481,0.0008661015188315,0.0004330507594157,1,0,0,0,0,0,1,0,0,0,2,1.0,2,6,0.0,0.0
4,261827,2009,3.1855148877805486,98.51792518703245,27.13764086533666,174.3474663341646,0.0,267778.99662630016,68668.22074605458,187595.4797175556,1379.5430654103952,3197.728625623066,1507.5414174383611,3644.328465428535,4204.215729035633,2219.338607427275,3161.2391779783247,3126.759952005591,2347.6646552155894,2561.7370114925693,0.0052689106372161,0.0122131354887886,0.0057577767664845,0.0139188413167035,0.016057227593165,0.0084763550261328,0.0120737707645824,0.0119420837117852,0.0089664727289988,0.0097840826633333,401,2561.7370114925693,2561.7370114925693,0.0097840826633333,0.0097840826633333,1,1,1,1,1,1,1,1,1,1,9,9.0,1,4,0.0085430698374524,0.0085430698374524
5,53587,2008,8.018632954545454,431.26514772727273,15.181500784090908,249.19915909090912,0.0,301675.90793499124,61545.27241350345,199471.88921092183,33.126350017111214,35.74994431202869,2.748690693683613,27.940844299466868,90.76801947144718,57.36411701217286,105.52167808373572,204.3404345983597,88.73703394865417,42.05273536260833,0.0006181788496671,0.0006671383789357,5.129398349755749e-05,0.0005214108701637,0.001693844019472,0.0010704856963848,0.0019691656200894,0.0038132463955504,0.0016559433061872,0.0007847562909401,88,130.7897693112625,65.39488465563124,0.0024406995971273,0.0012203497985636,0,0,0,0,1,0,1,1,0,0,3,1.5,2,4,0.0,0.0
6,14555,2001,3.2609812903225803,112.95206774193548,27.21334193548387,176.63177419354838,0.0,304797.98111427925,61540.90423942385,213947.71489008173,13.390753843589566,25.83727579498772,24.550317532040843,19.51266228688001,6.794976812423732,8.092992256591938,18.150598646763903,58.954213445962495,32.11379244089962,18.105941733701087,0.0009200105698103,0.0017751477701812,0.0016867274154614,0.001340615753135,0.000466848286666,0.000556028324053,0.0012470352900559,0.0040504440704886,0.0022063752965235,0.0012439671407558,31,212.11277095025136,23.56808566113904,0.0145731893473206,0.0016192432608134,1,1,1,0,0,0,1,1,1,1,6,0.6666666666666666,9,2,0.0004449282618000999,0.0004449282618000999
7,43884,2006,10.591300933333333,327.67325066666666,162.15921333333333,178.5900133333333,0.0,302338.6730741683,113821.30385512263,201069.69863085472,95.53740506113056,82.40243695053307,25.97975204273454,70.8558691211917,36.58704761669169,68.89672090407103,32.53215245156946,154.18420022551618,127.73049863335898,58.10551121852441,0.0021770441404869,0.0018777330450855,0.0005920096628095,0.0016146173803935,0.0008337218033153,0.0015699735872771,0.0007413214942022,0.0035134490982024,0.0029106393818557,0.001324070531823,75,372.552362528969,93.13809063224228,0.0084894805060835,0.0021223701265208,1,1,0,1,0,1,0,1,1,1,6,1.5,4,3,0.0007792098790108999,0.0007792098790108999
8,80097,2006,7.968186280991738,137.59481404958677,62.423781818181816,278.08245454545454,0.0,281010.24929311784,133370.53021569044,202112.46786021817,349.70349173155745,380.434444821784,98.21078354401324,604.0529841854241,211.4814466941077,173.96497915096225,99.40972322607342,202.8964752503297,731.8670784519766,467.0466369943569,0.0043659998717999,0.0047496715834773,0.0012261480897413,0.0075415182114863,0.0026403166996779,0.0021719287757464,0.0012411166863437,0.0025331345150296,0.0091372595534411,0.0058310128593375,121,1501.2199139227364,375.3049784806841,0.018742523614152,0.004685630903538,1,1,1,1,1,1,1,1,1,1,9,2.25,4,2,0.0032353257086950747,0.0032353257086950747
9,33093,2001,5.455656315789473,133.6469859649123,9.387533859649125,166.15549122807016,0.5277771929824562,225355.0151564248,70956.12958656713,174667.94585126778,433.6386128778772,623.9612552327927,260.4960729217307,454.5475941169628,774.5664971681675,459.2741627667479,499.0596698422103,142.64449028214537,1181.886252985227,311.0177431722141,0.0131036355990051,0.0188547806252921,0.0078716366881736,0.0137354604936682,0.0234057503752505,0.0138782873346855,0.0150805206491466,0.0043104127846416,0.0357140861507033,0.0093982939948694,57,4707.453738488199,523.0504153875776,0.1422492290964312,0.0158054698996034,1,1,1,1,1,1,1,1,1,1,9,1.0,9,1,0.01443522912194021,0.01443522912194021
10,97893,2001,11.00058763888889,300.1109305555555,108.51545138888888,265.2237430555556,0.0,299654.5219602678,140829.8613522694,202505.7689820623,138.27418473644272,142.17301042378872,38.79071065114141,145.2483694742887,130.20004570814453,224.1422528545924,169.07121173121408,74.5924145522241,387.8163470826476,110.27425748165372,0.0014125032917209,0.001452330712347,0.0003962562251758,0.0014837462277618,0.0013300240641122,0.002289665786671,0.0017271021598195,0.0007619790439788,0.0039616351228652,0.0011264774547889,144,1422.3086199596953,158.03429110663282,0.0145292167975207,0.0016143574219467,1,1,0,0,1,1,1,0,1,1,6,0.6666666666666666,9,4,0.00037214157929435547,0.00037214157929435547
