id,area,slope,elev,distroad,distcapital,peatdepth,biomasscarbonruesch,soilcarbon,biomasscarbonbaccini,defor2000,defor2001,defor2002,defor2003,defor2004,defor2005,defor2006,defor2007,defor2008,defor2009,defor2000prop,defor2001prop,defor2002prop,defor2003prop,defor2004prop,defor2005prop,defor2006prop,defor2007prop,defor2008prop,defor2009prop,num_cells
201,330349,16.778432372505545,804.3088403547672,13.820276472283814,313.3676496674058,0.0,300305.7914675173,62808.943043577994,199442.89626890718,23.945003079806288,4.046425381319121,1.8674058940462703,7.26119295132635,3.5277618104332746,9.22671668584994,4.091375080307876,7.24407472295499,9.757980788093429,51.410438036243676,7.24839581164353e-05,1.224894091194198e-05,5.652827446265224e-06,2.1980369098518083e-05,1.0678893565390768e-05,2.7930209220702773e-05,1.2385008219512928e-05,2.192855048132427e-05,2.953839965640407e-05,0.00015562462134362045,451
202,14733,11.199215172413794,359.30074482758624,5.724136034482759,218.81613793103455,0.0,306830.8627911124,61542.8086644176,199112.87533848928,31.82367665002813,16.167217921554634,51.20217483548108,21.546276101242885,14.339712533114676,5.931030498833974,6.34513855849399,12.409356155313592,14.728109782796524,30.143900567666293,0.0021600269225567183,0.001097347310225659,0.003475339363027291,0.0014624500170530702,0.0009733056765841768,0.0004025677390099758,0.00043067525680404466,0.0008422830486196696,0.0009996680772956306,0.0020460123917509193,29
203,16998,8.87492303030303,249.76939393939398,19.207060606060605,65.98653333333334,0.0,273861.57380998466,84866.9439846646,200856.15572422108,5.6759457208300415,4.537147794971557,49.458711389700504,37.110231981493214,87.47965218206234,30.98104748361219,19.18454069249756,50.41825787157488,115.48065795971593,18.20254008909354,0.0003339184445717168,0.0002669224494041391,0.0029096782791916995,0.0021832116708726448,0.005146467359810704,0.0018226289847989288,0.0011286351742850664,0.002966128831131597,0.006793779148118363,0.0010708636362568265,33
204,89823,11.895330884353742,391.4584081632653,2.912131534693878,312.4172108843538,0.0,302360.68117085507,61535.63842605589,211844.8651921808,63.563129275913674,107.53326536601617,78.71974146714771,48.552055898304765,180.84615331963334,72.94557048687048,206.96811981805294,156.52611905581404,76.85367458061533,171.10109801436082,0.0007076487010666942,0.0011971684909880115,0.000876387355879315,0.0005405303307427358,0.002013361314135949,0.0008121034755783094,0.002304177324494316,0.0017426062261983461,0.0008556124219923108,0.001904869554728308,147
205,26298,10.168176034482759,273.2428206896552,7.117818689655174,250.06322413793103,0.0,262969.3855355202,47809.58320634225,212345.07068515517,59.3418010451413,16.195942093139823,9.322923215019344,20.29641348640646,6.135100200795656,14.88198579839815,6.8397225662163015,11.695826663246816,11.041922952427452,11.058846804995678,0.002256513843073287,0.0006158621223340111,0.0003545107314251785,0.0007717854394405073,0.00023329151269281529,0.0005658980073921267,0.0002600852751622291,0.00044474205883515157,0.0004198769089827155,0.00042052045041431584,58
206,69924,14.951704173913043,966.4404695652173,11.626811217391305,334.9002260869564,0.0,304529.1635455621,61513.68965824716,186153.5936956852,0.01671892485122204,0.6423662709334352,0.08999020383472053,1.4631762866793854,1.7195964066378095,0.8928821055258811,2.8546495240302616,1.9518156273882084,2.657156932233743,3.123526450539608,2.391013793722047e-07,9.18663507427257e-06,1.2869716239734645e-06,2.0925237210105047e-05,2.459236323204922e-05,1.2769322486211903e-05,4.0825031806393534e-05,2.791338635358687e-05,3.800064258671905e-05,4.4670305625244667e-05,115
207,3226,11.133122499999999,433.59287500000005,14.961125000000001,308.444375,0.0,283829.7313740086,61540.27101758195,210852.6560355877,0.08374835328077006,0.04269788249222023,0.5591238741994686,0.42527790855931585,0.12910649792681214,0.0,0.5230365001813109,0.04269788249222023,0.12644623577299027,0.17100105309639357,2.5960431891125252e-05,1.3235549439621893e-05,0.00017331800192171997,0.00013182824195887038,4.002061312052453e-05,0.0,0.00016213158716097672,1.3235549439621893e-05,3.919598133074714e-05,5.300714603112014e-05,8
208,38930,11.157604647887325,315.9992478873239,5.474961,245.67759154929578,0.0,292794.99695271906,61541.78065814609,207929.0095778032,118.47384879114294,120.71843597082346,57.92583348019324,80.60068031998958,115.9831298704091,79.65561305847183,133.35733625415995,146.7933180219584,41.44694296862416,52.93887580291781,0.003043253244057101,0.003100910248415707,0.0014879484582633763,0.0020704002137166603,0.00297927382148495,0.0020461241474048764,0.003425567332498329,0.003770699152888734,0.0010646530431190381,0.001359847824374976,71
209,17133,13.299374750000002,533.9154500000001,6.57348985,322.85485,0.0,258680.43075837518,61541.71621454426,200654.5974168156,0.00012294509409034132,0.9019857321268556,0.26102986818020274,0.170596610739309,0.6364125905858774,0.1330330434394277,0.4866700262145181,1.1172711098913486,0.21884093063301663,3.0421194304259123,7.175923311173836e-09,5.264610588495042e-05,1.5235502724578458e-05,9.957194346542287e-06,3.7145426404358685e-05,7.764725584511044e-06,2.840541797785082e-05,6.521164477273966e-05,1.2773065466235722e-05,0.0001775590632362057,40
210,2073,7.5153025,163.176975,13.909712500000001,215.57637499999998,0.0,292688.1191258363,61683.671612880324,214138.8996148406,31.960958766999664,5.185990286538183,22.64110246111849,1.8217150590324804,2.394096917096277,5.330335825268249,3.729877255189398,14.22759021461678,22.540042757353593,8.88122731400069,0.01541773215967181,0.002501683688633952,0.010921901814335982,0.0008787819869910663,0.0011548947984063081,0.002571314918122648,0.0017992654390686918,0.0068632851975961315,0.01087315135424679,0.004284238935842108,8
211,34449,16.552867777777774,602.9475396825395,10.019841460317458,382.28703174603174,0.0,228446.40326531278,61479.44720080399,199737.09239669846,55.126485487582144,15.74822007275276,8.446102709214259,101.2368763414204,135.7724584440269,86.14564209618753,143.55293308650772,59.46114634304986,12.582523005980859,70.97682787988549,0.0016002347089199148,0.0004571459279733159,0.00024517700685692645,0.002938746446672484,0.003941259788209438,0.002500671778460551,0.0041671146647655295,0.0017260630596838765,0.0003652507476553995,0.002060345086356222,63
212,36743,9.12681424242424,370.7291954545455,12.395988484848484,236.2158636363636,0.0,301065.3371261739,61876.38700329877,194870.45345476118,21.60026783363929,43.631139268118275,32.42958775018524,5.693350046472326,6.482934779022611,1.3197508838746075,3.065740602350873,68.45505157734124,43.98973306807966,114.8240986230255,0.0005878743661007345,0.001187468069240897,0.0008826058773150053,0.00015495060410070834,0.00017643999616314974,3.591843028262819e-05,8.34374058283448e-05,0.001863077363779257,0.0011972275826165435,0.003125060518276284,66
