,id,area,slope,elev,distroad,distcapital,peatdepth,biomasscarbonruesch,soilcarbon,biomasscarbonbaccini,year,neighboreffect
0,1,12.0,4.571428571428571,74.28571428571429,8.285714285714286,69.42857142857143,59.42857142857143,16.181250000000002,17.037500000000005,10.187500000000002,2000,1.1154642780936288
1,1,12.0,4.571428571428571,74.28571428571429,8.285714285714286,69.42857142857143,59.42857142857143,16.181250000000002,17.037500000000005,10.187500000000002,2001,1.535105466671813
2,1,12.0,4.571428571428571,74.28571428571429,8.285714285714286,69.42857142857143,59.42857142857143,16.181250000000002,17.037500000000005,10.187500000000002,2002,0.7552379579991166
3,1,12.0,4.571428571428571,74.28571428571429,8.285714285714286,69.42857142857143,59.42857142857143,16.181250000000002,17.037500000000005,10.187500000000002,2003,2.191449822777442
4,1,12.0,4.571428571428571,74.28571428571429,8.285714285714286,69.42857142857143,59.42857142857143,16.181250000000002,17.037500000000005,10.187500000000002,2004,1.6651017064722646
5,1,12.0,4.571428571428571,74.28571428571429,8.285714285714286,69.42857142857143,59.42857142857143,16.181250000000002,17.037500000000005,10.187500000000002,2005,0.9130428841422157
6,1,12.0,4.571428571428571,74.28571428571429,8.285714285714286,69.42857142857143,59.42857142857143,16.181250000000002,17.037500000000005,10.187500000000002,2006,1.4740113705399882
7,1,12.0,4.571428571428571,74.28571428571429,8.285714285714286,69.42857142857143,59.42857142857143,16.181250000000002,17.037500000000005,10.187500000000002,2007,1.6121177669484628
8,1,12.0,4.571428571428571,74.28571428571429,8.285714285714286,69.42857142857143,59.42857142857143,16.181250000000002,17.037500000000005,10.187500000000002,2008,1.3921799882086294
9,1,12.0,4.571428571428571,74.28571428571429,8.285714285714286,69.42857142857143,59.42857142857143,16.181250000000002,17.037500000000005,10.187500000000002,2009,1.5556139056897877
10,2,0.5,1.0,56.0,16.0,63.0,25.0,12.0,18.5,10.25,2000,2.0181000163662826
11,2,0.5,1.0,56.0,16.0,63.0,25.0,12.0,18.5,10.25,2001,1.516292036024792
12,2,0.5,1.0,56.0,16.0,63.0,25.0,12.0,18.5,10.25,2002,2.2843342484034888
13,2,0.5,1.0,56.0,16.0,63.0,25.0,12.0,18.5,10.25,2003,2.416625291901734
14,2,0.5,1.0,56.0,16.0,63.0,25.0,12.0,18.5,10.25,2004,1.8138239389047026
15,2,0.5,1.0,56.0,16.0,63.0,25.0,12.0,18.5,10.25,2005,1.8889895383115265
16,2,0.5,1.0,56.0,16.0,63.0,25.0,12.0,18.5,10.25,2006,1.8013375320976075
17,2,0.5,1.0,56.0,16.0,63.0,25.0,12.0,18.5,10.25,2007,1.7262300053471051
18,2,0.5,1.0,56.0,16.0,63.0,25.0,12.0,18.5,10.25,2008,2.0527817774088555
19,2,0.5,1.0,56.0,16.0,63.0,25.0,12.0,18.5,10.25,2009,2.4569862881809605
20,3,6.0,3.5,70.25,4.5,81.5,68.25,12.5,11.916666666666666,10.864583333333334,2000,1.1154642780936288
21,3,6.0,3.5,70.25,4.5,81.5,68.25,12.5,11.916666666666666,10.864583333333334,2001,1.535105466671813
22,3,6.0,3.5,70.25,4.5,81.5,68.25,12.5,11.916666666666666,10.864583333333334,2002,0.7552379579991166
23,3,6.0,3.5,70.25,4.5,81.5,68.25,12.5,11.916666666666666,10.864583333333334,2003,2.191449822777442
24,3,6.0,3.5,70.25,4.5,81.5,68.25,12.5,11.916666666666666,10.864583333333334,2004,1.6651017064722646
25,3,6.0,3.5,70.25,4.5,81.5,68.25,12.5,11.916666666666666,10.864583333333334,2005,0.9130428841422157
26,3,6.0,3.5,70.25,4.5,81.5,68.25,12.5,11.916666666666666,10.864583333333334,2006,1.4740113705399882
27,3,6.0,3.5,70.25,4.5,81.5,68.25,12.5,11.916666666666666,10.864583333333334,2007,1.6121177669484628
28,3,6.0,3.5,70.25,4.5,81.5,68.25,12.5,11.916666666666666,10.864583333333334,2008,1.3921799882086294
29,3,6.0,3.5,70.25,4.5,81.5,68.25,12.5,11.916666666666666,10.864583333333334,2009,1.5556139056897877
30,4,13.25,5.125,68.375,6.25,69.125,60.5,15.56698113207547,15.200943396226414,11.26509433962264,2000,1.3886678095251133
31,4,13.25,5.125,68.375,6.25,69.125,60.5,15.56698113207547,15.200943396226414,11.26509433962264,2001,2.2275535153396464
32,4,13.25,5.125,68.375,6.25,69.125,60.5,15.56698113207547,15.200943396226414,11.26509433962264,2002,1.612702989465117
33,4,13.25,5.125,68.375,6.25,69.125,60.5,15.56698113207547,15.200943396226414,11.26509433962264,2003,2.577880855068755
34,4,13.25,5.125,68.375,6.25,69.125,60.5,15.56698113207547,15.200943396226414,11.26509433962264,2004,2.4553262402069302
35,4,13.25,5.125,68.375,6.25,69.125,60.5,15.56698113207547,15.200943396226414,11.26509433962264,2005,1.363030035400135
36,4,13.25,5.125,68.375,6.25,69.125,60.5,15.56698113207547,15.200943396226414,11.26509433962264,2006,1.9991758487743838
37,4,13.25,5.125,68.375,6.25,69.125,60.5,15.56698113207547,15.200943396226414,11.26509433962264,2007,2.099424200000789
38,4,13.25,5.125,68.375,6.25,69.125,60.5,15.56698113207547,15.200943396226414,11.26509433962264,2008,2.132980243302976
39,4,13.25,5.125,68.375,6.25,69.125,60.5,15.56698113207547,15.200943396226414,11.26509433962264,2009,2.042850787527869
