,id,area_degs_estimate,bl_intersect,br_intersect,tl_intersect,tr_intersect,center_intersect,bl_residual,br_residual,tl_residual,tr_residual,center_residual
0,66350,0.0002964497088106266,1.0407421682286393e-05,0.00011002927205813542,0.00029263867602526334,0.0005024272525271969,0.0003178156126483479,-0.00028604228712834017,-0.00018642043675249115,-3.8110327853632317e-06,0.00020597754371657034,2.1365903837721324e-05
1,104117,0.00046887101728956864,0.0007113019373490142,0.0007313412748021391,6.889518261141313e-05,0.0005413105002754443,0.0005787691999395115,0.00024243092005944554,0.00026247025751257046,-0.0003999758346781555,7.243948298587562e-05,0.00010989818264994284
2,156909,0.00026038568003766373,0.0002577014488037682,0.0007346304452473272,0.0002577014488037682,0.0007346304452473272,0.0006250166714274317,-2.68423123389556e-06,0.00047424476520966345,-2.68423123389556e-06,0.00047424476520966345,0.000364630991389768
3,193285,0.0006385626838306927,0.0007311786456080504,0.0007137202034852592,0.00025717747423440785,0.00011125494225067693,0.0005823035147129425,9.261596177735773e-05,7.515751965456651e-05,-0.0003813852095962848,-0.0005273077415800158,-5.6259169117750204e-05
4,139510,0.0007080875700974537,0.0007180996714810404,0.0006428991350272591,0.0006694622609573105,0.00037361714230721557,0.0007057086439225551,1.0012101383586746e-05,-6.518843507019459e-05,-3.86253091401432e-05,-0.0003344704277902381,-2.3789261748985305e-06
5,66717,0.00011248743613367262,3.953998882053109e-05,0.0006544159098708533,5.483605136309101e-05,0.0004280395751044362,0.00011179954545341462,-7.294744731314153e-05,0.0005419284737371807,-5.765138477058161e-05,0.0003155521389707636,-6.878906802579976e-07
6,141581,0.00048551743539429796,0.00013689405452510352,0.000731935832253084,0.000546711654746511,0.000731935832253084,0.0006436902308841161,-0.0003486233808691944,0.00024641839685878605,6.119421935221303e-05,0.00024641839685878605,0.00015817279548981816
7,60540,0.0007135876171706036,0.00031273118856986655,0.0007275470649186321,0.0007339758348036639,0.0007339758348036639,0.0007297874222838747,-0.00040085642860073704,1.395944774802856e-05,2.0388217633060318e-05,2.0388217633060318e-05,1.6199805113271135e-05
8,90703,0.0005528864805201049,0.0007317615183350353,0.00017597529392156038,0.0007317615183350353,0.00036562167356491354,0.0006056681316006567,0.00017887503781493044,-0.0003769111865985445,0.00017887503781493044,-0.00018726480695519134,5.2781651080551785e-05
9,123527,0.0005784545722889598,0.0007311925773315503,0.0007311925773315503,0.0007118916397353458,0.00031178385682321974,0.0007238418027107383,0.0001527380050425905,0.0001527380050425905,0.00013343706744638607,-0.00026667071546574003,0.00014538723042177852
10,39794,0.0003972714445361736,0.0006831345335535093,0.0007311744377966399,0.00032038830716756537,0.00031371640296328683,0.0005358477037770129,0.0002858630890173357,0.0003339029932604663,-7.688313736860822e-05,-8.355504157288676e-05,0.0001385762592408393
11,74165,0.0005438755914135729,0.0005059494413531238,0.0007338651158507837,0.0003136299900215579,0.0007338651158507837,0.0006380113673491899,-3.7926150060449177e-05,0.00018998952443721078,-0.00023024560139201503,0.00018998952443721078,9.413577593561694e-05
12,77855,0.00021979335350147847,0.00071720734255446,7.894398604766624e-05,0.0005188862420664395,0.0,0.00027399340453042494,0.0004974139890529816,-0.00014084936745381224,0.000299092888564961,-0.00021979335350147847,5.4200051028946466e-05
13,142712,0.0006133844524868609,0.0002202524044102098,0.00014614564295596525,0.0007321565082734295,0.0007321565082734295,0.0005611199725111954,-0.00039313204807665114,-0.0004672388095308957,0.00011877205578656857,0.00011877205578656857,-5.226447997566555e-05
14,146454,0.0005050674616612124,0.0006586300767576379,0.0007391231146262129,9.169237175573338e-06,0.00022731357593118126,0.0004448628095974414,0.0001535626150964255,0.00023405565296500048,-0.0004958982244856391,-0.00027775388573003114,-6.020465206377099e-05
15,170631,0.0006455218687162757,0.0007326225496153145,0.0007326225496153145,0.0001889009080390509,0.00021941379275852645,0.000553698935351928,8.710068089903876e-05,8.710068089903876e-05,-0.0004566209606772248,-0.0004261080759577492,-9.18229333643477e-05
16,19607,0.0005043662144764688,0.0007321445048851847,0.0007321445048851847,0.0002598018189544316,0.0001530179635638907,0.0005069658848824804,0.00022777829040871583,0.00022777829040871583,-0.0002445643955220372,-0.0003513482509125781,2.5996704060115682e-06
17,194410,0.0001779472696291866,0.0004763999126331805,0.0,0.00015360945183583567,0.0,7.222140713682313e-05,0.00029845264300399396,-0.0001779472696291866,-2.4337817793350922e-05,-0.0001779472696291866,-0.00010572586249236347
18,128756,0.00026162123395950045,0.0005620708262152818,0.0,0.0007116533949310184,0.00017576017158782062,0.00028418163643514845,0.0003004495922557813,-0.00026162123395950045,0.0004500321609715179,-8.586106237167983e-05,2.2560402475647998e-05
19,192985,0.0001364906377194575,4.9552451410623575e-06,0.0,0.0006157611488994787,0.0004354516535255338,0.00015373527279082506,-0.00013153539257839515,-0.0001364906377194575,0.00047927051118002123,0.0002989610158060763,1.7244635071367564e-05
20,22321,0.0006562789108131841,8.879004292577658e-05,0.0006289306923121312,0.0006986449155477018,0.0007319095659622614,0.0006370738102020944,-0.0005674888678874076,-2.7348218501052927e-05,4.2366004734517636e-05,7.563065514907727e-05,-1.9205100611089775e-05
21,67153,0.0007248601529997379,0.0007388155579835406,0.0007388155579835406,0.00036515330929642187,0.00040387425382998197,0.0007037361622914718,1.3955404983802744e-05,1.3955404983802744e-05,-0.00035970684370331603,-0.00032098589916975594,-2.1123990708266137e-05
22,142868,0.00014237084001357121,3.88209877084644e-05,0.0,0.00024130504208973565,0.0,0.0,-0.00010354985230510682,-0.00014237084001357121,9.893420207616443e-05,-0.00014237084001357121,-0.00014237084001357121
