FID,OBJECTID_1,OBJECTID_2,OBJECTID,country,name,company,group_comp,group_coun,legal_term,status,province,area_ha,source,last_updat,SHAPE_Leng,gfwid,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Area
29156,29157,29204,29204,IDN,PT. SUMALINDO LESTARI JAYA II, , , ,400/Menhut-II/2004, , ,259332,Indonesia Ministry of Forestry,2014,367576.2534,cf583079-ba1f-49c5-a540-0c56ea962267,3.301465465,3.30146546,3.30146546,0.209215682
29157,29158,29205,29205,IDN,PT. RIZKI KACIDA REANA, , , ,60/Menhut-II/2009, , ,17806,Indonesia Ministry of Forestry,2014,68794.88919,c1acd31c-868c-461f-89e9-352f6dfd9b21,0.61765433,0.617654331,0.617654331,0.014355169
29158,29159,29206,29206,IDN,PT. RIZKI KACIDA REANA, , , ,60/Menhut-II/2009, , ,37581,Indonesia Ministry of Forestry,2014,118475.7896,d72fb23f-6e65-4a6c-a087-3bb286b74103,1.06393927,1.063939272,1.063939272,0.030299554
29159,29160,29207,29207,IDN,PT. RATAH TIMBER, , , ,359/Menhut-II/2009, , ,6857,Indonesia Ministry of Forestry,2014,41546.83779,fe85fc9d-aef9-4dc4-974d-d9966e394030,0.373221047,0.373221048,0.373221048,0.005533222
29160,29161,29208,29208,IDN,PT. RATAH TIMBER, , , ,359/Menhut-II/2009, , ,86481,Indonesia Ministry of Forestry,2014,196307.3928,5cadd815-2c00-4533-af53-47b5b6e0bdce,1.763457745,1.763457743,1.763457743,0.069787453
29161,29162,29209,29209,IDN,PT. BARITO NUSANTARA INDAH, , , ,42/Menhut-II/2009, , ,95289,Indonesia Ministry of Forestry,2014,170551.0789,76062484-c851-4196-8437-942a4f5a25ba,1.531975817,1.531975818,1.531975818,0.076884356
29162,29163,29210,29210,IDN,PT.KEDAP SAYAQ, , , ,292/Menhut-II/2008, , ,15297,Indonesia Ministry of Forestry,2014,60708.55112,2c711ac7-8f61-43c8-8d39-7977369427a3,0.545353973,0.545353973,0.545353973,0.012344472
29163,29164,29211,29211,IDN,PT. AQUILA SILVA, , , ,548/Menhut-II/2009, , ,55788,Indonesia Ministry of Forestry,2014,102219.7663,19999ba6-3027-4707-a30c-8c9f4efcc18f,0.917860945,0.917860947,0.917860947,0.044988854
29164,29165,29212,29212,IDN,PT.SUKA JAYA MAKMUR, , , ,106/Kpts-II/2000, , ,43346,Indonesia Ministry of Forestry,2014,124730.3982,f3848070-80ac-4e0c-8c4c-c47278855b9c,1.120273986,1.120273986,1.120273986,0.034967395
29165,29166,29213,29213,IDN,PT.DAYA SAKTI KRIDA UNGGUL, , , ,099/Kpts-II/89, , ,32699,Indonesia Ministry of Forestry,2014,112908.9414,7e860282-988a-47fc-9a79-0ffdbe740fe5,1.014264248,1.014264248,1.014264248,0.026386413
29166,29167,29214,29214,IDN,PT.MITRA PERDANA PALANGKA, , , ,397/Menhut-II/2005, , ,56800,Indonesia Ministry of Forestry,2014,134445.3404,aa9d7024-b14e-4f81-8d28-a5a5175d09b4,1.207736496,1.207736497,1.207736497,0.045834969
29167,29168,29215,29215,IDN,PT.FORTUNA CIPTA SEJAHTERA, , , ,132/Menhut-II/2006, , ,23139,Indonesia Ministry of Forestry,2014,124100.6319,82edab35-f174-479f-aa36-b7fb2e929de8,1.114809089,1.114809095,1.114809095,0.018672575
29168,29169,29216,29216,IDN,PT.MENORAH LOGGINGINDO, , , ,516/Menhut-II/05, , ,56302,Indonesia Ministry of Forestry,2014,247202.036,1532834f-0cd4-4506-8278-eba80a0cdd6a,2.220649662,2.220649662,2.220649662,0.04543352
29169,29170,29217,29217,IDN,PT.KARYA DELTA PERMAI, , , ,SK. 429/Menhut-II/04, , ,79407,Indonesia Ministry of Forestry,2014,230777.3444,28c9d6eb-2dd6-4099-bf4f-1827611a290c,2.073094512,2.073094513,2.073094513,0.064078208
29170,29171,29218,29218,IDN,PT.GUNUNG MERANTI, , , ,941/Kpts-VI/99, , ,90554,Indonesia Ministry of Forestry,2014,233800.2045,7d0345d3-c469-4505-8252-16f6af30670f,2.100220671,2.100220673,2.100220673,0.073071631
29171,29172,29219,29219,IDN,PT.KAYU WAJA, , , ,81/Kpts-II/2000, , ,39629,Indonesia Ministry of Forestry,2014,102055.7948,f2407395-cea9-413b-8e2d-fc172b0efad9,0.91671788,0.916717878,0.916717878,0.031974768
29172,29173,29220,29220,IDN,PT.BERKAT CAHAYA TIMBER, , , ,114/Kpts-II/2000, , ,19773,Indonesia Ministry of Forestry,2014,135216.2221,76044603-d7c7-411f-955b-4150fea8b4bd,1.214591748,1.214591747,1.214591747,0.015952821
29173,29174,29221,29221,IDN,PT.SARI BUMI KUSUMA (UNIT I DAN II), , , ,201/Kpts-II/1998, , ,60894,Indonesia Ministry of Forestry,2014,210641.9916,85fed8ab-9078-4da7-97d3-853ce0f5c25d,1.891745675,1.891745675,1.891745675,0.049117977
29174,29175,29222,29222,IDN,PT.SARANA PIRANTI UTAMA, , , ,104/Kpts-II/2001, , ,52620,Indonesia Ministry of Forestry,2014,111155.4865,7a2ac02b-dea4-443d-8483-eba10e81aaa1,0.998473906,0.998473905,0.998473905,0.042459046
29175,29176,29223,29223,IDN,PT.GAUNG SATYA GRAHA AGRINDO, , , ,102/Kpts-II/2001, , ,50032,Indonesia Ministry of Forestry,2014,154610.0058,c6890d47-b9c3-47de-a6f8-e0f825552c88,1.388805532,1.388805533,1.388805533,0.040370239
29176,29177,29224,29224,IDN,PT.SARI BUMI KUSUMA (UNIT I DAN II), , , ,201/Kpts-II/1998, , ,144684,Indonesia Ministry of Forestry,2014,314430.0808,12c279de-663b-476a-87d2-0fdf30a41610,2.824348395,2.824348392,2.824348392,0.116741598
29177,29178,29225,29225,IDN,PT.SIKATAN WANA RAYA, , , ,107/Kpts-II/2000, , ,48976,Indonesia Ministry of Forestry,2014,131091.9076,38daca76-4a3d-4457-86f2-6dd424bae436,1.177568321,1.177568322,1.177568322,0.039519009
29178,29179,29226,29226,IDN,PT.PANDU JAYA GEMILANG AGUNG, , , ,111/Kpts-II/00, , ,47077,Indonesia Ministry of Forestry,2014,129054.7942,0d65ec92-28fc-41eb-93b9-d2d8bc938aea,1.159279726,1.159279726,1.159279726,0.037985185
29179,29180,29227,29227,IDN,PT.GRAHA SENTOSA PERMAI, , , ,381/Menhut-II/05, , ,45568,Indonesia Ministry of Forestry,2014,206426.8161,fc8a9d73-9624-4590-bfac-b396090bbc2f,1.854265143,1.854265144,1.854265144,0.036766908
29180,29181,29228,29228,IDN,PT.BINA MULTI ALAM LESTARI, , , ,137/Menhut-II/2006, , ,35009,Indonesia Ministry of Forestry,2014,96781.395,11ac57a6-1010-44ac-ad50-d687a469fdfb,0.869337852,0.869337852,0.869337852,0.028247859
29181,29182,29229,29229,IDN,PT.DWIMA JAYA UTAMA, , , ,267/Menhut-II/2004, , ,73444,Indonesia Ministry of Forestry,2014,178467.974,0527f2ac-5907-4050-a9d8-7e31e2ed4b5b,1.603060587,1.603060585,1.603060585,0.059257478
29182,29183,29230,29230,IDN,PT.ERNA JULIAWATI, , , ,15/Kpts-IV/1999, , ,181465,Indonesia Ministry of Forestry,2014,308831.1591,88059f24-d53e-46ae-8aef-5f05deb6bf5f,2.773976638,2.773976645,2.773976645,0.146409711
29183,29184,29231,29231,IDN,PT.MERANTI MUSTIKA, , , ,1001/Kpts-VI/99, , ,59267,Indonesia Ministry of Forestry,2014,225899.2692,86782042-83c1-4035-a081-edc9077d3439,2.029062743,2.029062745,2.029062745,0.047818193
29184,29185,29232,29232,IDN,PT.TINGANG KARYA MANDIRI, , , ,73/Kpts-II/00, , ,42476,Indonesia Ministry of Forestry,2014,99544.54163,0782d272-a9db-4bf8-8d65-42ce30ef722b,0.894088446,0.894088447,0.894088447,0.034263832
29185,29186,29233,29233,IDN,PT.TRISETIA INTIGA, , , ,113/Menhut-II/2006, , ,79396,Indonesia Ministry of Forestry,2014,237246.84,3c739a54-3780-48d7-b957-6a477c216d4d,2.130655745,2.13065574,2.13065574,0.06403999
29186,29187,29234,29234,IDN,PT.TRISETIA INTIGA, , , ,113/Menhut-II/2006, , ,19823,Indonesia Ministry of Forestry,2014,128270.5818,49cd6dc5-f709-4da7-b59b-1f86f5b0a95d,1.151814984,1.151814979,1.151814979,0.015987166
29187,29188,29235,29235,IDN,PT.HUTAN DOMAS RAYA, , , ,78/Kpts-II/00, , ,112119,Indonesia Ministry of Forestry,2014,158542.3355,f21b5a46-290b-4cf4-874f-b876ea047cf3,1.424180644,1.424180645,1.424180645,0.090473097
29188,29189,29236,29236,IDN,PT.CARUS INDONESIA, , , ,94/Kpts-II/2000, , ,72563,Indonesia Ministry of Forestry,2014,218260.0438,0402b27c-60ed-434f-82ce-1b986b294c07,1.960587907,1.960587907,1.960587907,0.0585528
29189,29190,29237,29237,IDN,PT.PRABA NUGRAHA TECH., , , ,939/Kpts-VI/1999, , ,41746,Indonesia Ministry of Forestry,2014,132527.9296,97764e2e-875c-49ed-8694-35aa3107b4d6,1.190474956,1.190474953,1.190474953,0.033685743
29190,29191,29238,29238,IDN,PT.ERYTHRINA NUGRAHA MEGAH, , , ,72/Kpts-II/2001, , ,42333,Indonesia Ministry of Forestry,2014,85404.86629,ccafd3ec-0710-44a7-af77-bb1e0b5fce43,0.76708182,0.76708182,0.76708182,0.034148733
29191,29192,29239,29239,IDN,PT.BERKAT CAHAYA TIMBER, , , ,114/Kpts-II/2000, , ,120423,Indonesia Ministry of Forestry,2014,266341.905,32356338-e014-44e2-b290-66ce67f103b0,2.392005353,2.392005348,2.392005348,0.097138455
29192,29193,29240,29240,IDN,PT.BINA DAYA TETRA, , , ,377/Kpts-IV/87, , ,107427,Indonesia Ministry of Forestry,2014,150223.6504,eeb27453-e655-4226-ba9f-7cb1d1c0c035,1.349001721,1.349001721,1.349001721,0.086633036
29193,29194,29241,29241,IDN,PT.TRISETIA CITAGRAHA, , , ,395/Menhut-II/2006, , ,27187,Indonesia Ministry of Forestry,2014,122984.4552,04a79a47-1042-4c5e-ac91-94e0bc0faec0,1.10460805,1.104608048,1.104608048,0.021932085
